model_key,category,family,n,observed,chance,corrected,interpretable
olmo,unexplained,E,334,0.0688622754491018,0.2153805161571213,-0.1465182407080195,False
qwen,stale,A,498,0.17670682730923695,0.07215058355822151,0.10455624375101544,True
qwen,direction_global,B,498,0.12449799196787148,0.04977931069723747,0.07471868127063401,True
qwen,conservation_total,B,498,0.03815261044176707,0.06531166395335404,-0.02715905351158697,False
qwen,boundary_off_by_one,A,498,0.0642570281124498,0.06010701371777396,0.004150014394675834,True
qwen,transfer_omitted,A,498,0.1927710843373494,0.1076032621479577,0.0851678221893917,True
qwen,transfer_doubled,A,498,0.0642570281124498,0.05907084944062664,0.005186178671823152,True
qwen,direction_single,B,498,0.03614457831325301,0.04424709009430692,-0.008102511781053909,False
qwen,delta_readout,C,498,0.03413654618473896,0.03798584340735759,-0.0038492972226186334,False
qwen,wrong_person_same_cluster,C,498,0.03413654618473896,0.04475572541543784,-0.010619179230698883,False
qwen,partial_update,A,498,0.012048192771084338,0.0077283548717144756,0.004319837899369862,True
qwen,lookahead,A,498,0.03413654618473896,0.0794624490768162,-0.04532590289207724,False
qwen,wrong_person_other_cluster,C,498,0.03614457831325301,0.042318620245318,-0.006174041932064993,False
qwen,digit_error,B,498,0.040160642570281124,0.10227751343292553,-0.062116870862644405,False
qwen,arithmetic_slip,B,498,0.004016064257028112,0.0035529728202837846,0.00046309143674432745,True
qwen,out_of_range,B,498,0.04417670682730924,0.0,0.04417670682730924,True
qwen,unexplained,E,498,0.0642570281124498,0.22364874712066818,-0.15939171900821839,False
