model_key,N,question_type,n_asked,n_overflow,n_valid,n_correct,accuracy,se_low,se_high,accuracy_strict,n_rescued,format_error_rate,truncated_rate,coverage,per_element_accuracy
olmo,16,person_timestep_lookup,30,0,30,2,0.06666666666666667,0.03371364980044043,0.1275766727802047,0.06666666666666667,0,0.0,0.0,1.0,
olmo,20,person_timestep_lookup,30,1,29,2,0.06896551724137931,0.03489013675198502,0.13177652991468164,0.06896551724137931,0,0.0,0.0,0.9666666666666667,
olmo,24,person_timestep_lookup,30,24,6,2,0.3333333333333333,0.17738489439831545,0.5369008198873988,0.3333333333333333,0,0.0,0.0,0.2,
olmo,30,person_timestep_lookup,30,30,0,0,,,,,0,,,0.0,
olmo,2,state_snapshot,30,0,30,5,0.16666666666666666,0.1096262354144167,0.24521247426300263,0.16666666666666666,0,0.0,0.0,1.0,0.21666666666666667
olmo,4,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.14166666666666666
olmo,6,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.13889333333333334
olmo,8,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.09583333333333334
olmo,10,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.03333333333333333,0.0,1.0,0.09310344827586209
olmo,12,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.07222333333333332
olmo,16,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.09791666666666667
olmo,20,state_snapshot,30,3,27,0,0.0,0.0,0.03571428571428571,0.0,0,0.0,0.0,0.9,0.057407407407407414
olmo,24,state_snapshot,30,30,0,0,,,,,0,,,0.0,
olmo,30,state_snapshot,30,30,0,0,,,,,0,,,0.0,
olmo,2,trajectory,30,0,30,5,0.16666666666666666,0.1096262354144167,0.24521247426300263,0.16666666666666666,0,0.0,0.0,1.0,
olmo,4,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
olmo,6,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
